id_subsistema;nom_subsistema;id_estado;nom_estado;nom_usina;id_ons;ceg;din_instante;val_geracao;val_geracaolimitada;val_disponibilidade;val_geracaoreferencia;val_geracaoreferenciafinal;cod_razaorestricao;cod_origemrestricao
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 00:00:00;226.674;;329.083;154.988;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 00:30:00;218.769;;331.2;168.744;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 01:00:00;255.726;;331.2;202.847;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 01:30:00;257.208;;330.409;205.409;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 02:00:00;214.428;;331.089;202.496;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 02:30:00;211.362;;322.786;200.089;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 03:00:00;224.014;;314.913;181.099;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 03:30:00;198.034;;301.5;212.094;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 04:00:00;188.417;;318.8;155.636;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 04:30:00;147.534;;321.508;145.771;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 05:00:00;105.446;;309.168;53.741;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 05:30:00;84.302;;317.171;61.366;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 06:00:00;68.746;;322.39;26.449;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 06:30:00;55.092;;320.542;11.879;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 07:00:00;84.37;;308.595;59.769;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 07:30:00;149.11;;320.929;125.092;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 08:00:00;201.149;;327.092;170.892;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 08:30:00;245.693;;327.758;154.556;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 09:00:00;297.316;;326.2;0.0;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 09:30:00;310.913;;325.419;271.625;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 10:00:00;293.092;;326.2;279.374;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 10:30:00;313.032;;327.1;271.737;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 11:00:00;338.352;;326.944;313.772;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 11:30:00;336.86;;327.284;311.803;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 12:00:00;331.494;;326.967;305.562;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 12:30:00;353.006;;327.899;327.38;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 13:00:00;335.497;;328.5;277.203;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 13:30:00;312.289;;328.5;279.396;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 14:00:00;293.438;;328.5;267.759;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 14:30:00;282.261;;327.258;226.847;;;
N;NORTE;MA;MARANHAO;CONJ. PAULINO NEVES;CJU_MAPLN;-;2022-02-01 15:00:00;245.076;;325.188;146.846;;;
